id,product_id,ingredient_id,created_at,updated_at
1,934,214,2024-05-02 10:49:38.695712,
2,136,1211,2024-05-02 10:49:38.695712,
3,1982,1075,2024-05-02 10:49:38.695712,
4,2798,2292,2024-05-02 10:49:38.695712,
5,1106,1759,2024-05-02 10:49:38.695712,
6,595,1331,2024-05-02 10:49:38.695712,
7,594,1456,2024-05-02 10:49:38.695712,
8,871,598,2024-05-02 10:49:38.695712,
9,2055,2276,2024-05-02 10:49:38.695712,
10,2068,2276,2024-05-02 10:49:38.695712,
11,1851,2276,2024-05-02 10:49:38.695712,
12,1854,100,2024-05-02 10:49:38.695712,
13,717,100,2024-05-02 10:49:38.695712,
14,2582,966,2024-05-02 10:49:38.695712,
15,2468,2607,2024-05-02 10:49:38.695712,
16,2465,2607,2024-05-02 10:49:38.695712,
17,2460,2607,2024-05-02 10:49:38.695712,
18,2467,2607,2024-05-02 10:49:38.695712,
19,2469,2607,2024-05-02 10:49:38.695712,
20,2470,2607,2024-05-02 10:49:38.695712,
21,2466,2607,2024-05-02 10:49:38.695712,
22,2459,2607,2024-05-02 10:49:38.695712,
23,2458,2607,2024-05-02 10:49:38.695712,
24,2421,962,2024-05-02 10:49:38.695712,
25,2621,962,2024-05-02 10:49:38.695712,
26,2406,962,2024-05-02 10:49:38.695712,
27,2404,962,2024-05-02 10:49:38.695712,
28,2464,962,2024-05-02 10:49:38.695712,
29,2407,962,2024-05-02 10:49:38.695712,
30,2420,962,2024-05-02 10:49:38.695712,
31,2619,962,2024-05-02 10:49:38.695712,
32,2625,962,2024-05-02 10:49:38.695712,
33,2620,962,2024-05-02 10:49:38.695712,
34,2413,962,2024-05-02 10:49:38.695712,
35,632,962,2024-05-02 10:49:38.695712,
36,470,962,2024-05-02 10:49:38.695712,
37,944,962,2024-05-02 10:49:38.695712,
38,641,962,2024-05-02 10:49:38.695712,
39,482,962,2024-05-02 10:49:38.695712,
40,469,962,2024-05-02 10:49:38.695712,
41,317,962,2024-05-02 10:49:38.695712,
42,471,962,2024-05-02 10:49:38.695712,
43,468,962,2024-05-02 10:49:38.695712,
44,943,962,2024-05-02 10:49:38.695712,
45,643,962,2024-05-02 10:49:38.695712,
46,633,962,2024-05-02 10:49:38.695712,
47,316,962,2024-05-02 10:49:38.695712,
48,642,962,2024-05-02 10:49:38.695712,
49,467,962,2024-05-02 10:49:38.695712,
50,942,962,2024-05-02 10:49:38.695712,
51,466,962,2024-05-02 10:49:38.695712,
52,1768,962,2024-05-02 10:49:38.695712,
53,1843,962,2024-05-02 10:49:38.695712,
54,1767,962,2024-05-02 10:49:38.695712,
55,1944,962,2024-05-02 10:49:38.695712,
56,1943,962,2024-05-02 10:49:38.695712,
57,1833,962,2024-05-02 10:49:38.695712,
58,1775,962,2024-05-02 10:49:38.695712,
59,1948,962,2024-05-02 10:49:38.695712,
60,1777,962,2024-05-02 10:49:38.695712,
61,1942,962,2024-05-02 10:49:38.695712,
